Sensor Alias,Gateway Alias,Variable,Statistic,Value
sensor03,gatewayC,Spreading Factor (-),mean,7.0
sensor03,gatewayC,Bandwidth (Hz),mean,125000.0
sensor03,gatewayC,Frequency (Hz),mean,904598954.0545577
sensor03,gatewayC,Airtime (s),mean,0.056672734478931196
sensor03,gatewayC,Counter (-),mean,111639.38969772095
sensor03,gatewayC,# Receiving Gateways (-),mean,2.494681152727479
sensor03,gatewayC,RSSI (dBm),std,6.225364360229512
sensor03,gatewayC,SNR (dB),std,0.544886726248642
sensor03,gatewayC,Spreading Factor (-),std,0.0
sensor03,gatewayC,Bandwidth (Hz),std,0.0
sensor03,gatewayC,Frequency (Hz),std,457499.8507431925
sensor03,gatewayC,Airtime (s),std,0.0006970845785181683
sensor03,gatewayC,Counter (-),std,37464.249224677595
sensor03,gatewayC,# Receiving Gateways (-),std,0.7263671796796928
sensor03,gatewayC,RSSI (dBm),min,-104.0
sensor03,gatewayC,SNR (dB),min,-9.0
sensor03,gatewayC,Spreading Factor (-),min,7.0
sensor03,gatewayC,Bandwidth (Hz),min,125000.0
sensor03,gatewayC,Frequency (Hz),min,903900000.0
sensor03,gatewayC,Airtime (s),min,0.056576
sensor03,gatewayC,Counter (-),min,40670.0
sensor03,gatewayC,# Receiving Gateways (-),min,1.0
sensor03,gatewayC,RSSI (dBm),max,-50.0
sensor03,gatewayC,SNR (dB),max,15.0
sensor03,gatewayC,Spreading Factor (-),max,7.0
sensor03,gatewayC,Bandwidth (Hz),max,125000.0
sensor03,gatewayC,Frequency (Hz),max,905300000.0
sensor03,gatewayC,Airtime (s),max,0.061696
sensor03,gatewayC,Counter (-),max,175962.0
sensor03,gatewayC,# Receiving Gateways (-),max,4.0
sensor03,gatewayC,RSSI (dBm),count,123429.0
sensor03,gatewayC,SNR (dB),count,123429.0
sensor03,gatewayC,Spreading Factor (-),count,123429.0
sensor03,gatewayC,Bandwidth (Hz),count,123429.0
sensor03,gatewayC,Frequency (Hz),count,123429.0
sensor03,gatewayC,Airtime (s),count,123429.0
sensor03,gatewayC,Counter (-),count,123429.0
sensor03,gatewayC,# Receiving Gateways (-),count,123429.0
sensor04,gatewayA,RSSI (dBm),mean,-94.75685885711356
sensor04,gatewayA,SNR (dB),mean,8.241811213841002
sensor04,gatewayA,Spreading Factor (-),mean,7.0
sensor04,gatewayA,Bandwidth (Hz),mean,125000.0
sensor04,gatewayA,Frequency (Hz),mean,904593610.3656348
sensor04,gatewayA,Airtime (s),mean,0.05682311235705372
sensor04,gatewayA,Counter (-),mean,108526.01014512572
sensor04,gatewayA,# Receiving Gateways (-),mean,2.2058169945812893
sensor04,gatewayA,RSSI (dBm),std,9.940000480299572
sensor04,gatewayA,SNR (dB),std,5.455732921893673
sensor04,gatewayA,Spreading Factor (-),std,0.0
sensor04,gatewayA,Bandwidth (Hz),std,0.0
sensor04,gatewayA,Frequency (Hz),std,456546.6310005673
sensor04,gatewayA,Airtime (s),std,0.001097750998199828
sensor04,gatewayA,Counter (-),std,39594.51590958158
sensor04,gatewayA,# Receiving Gateways (-),std,0.5990188711114973
sensor04,gatewayA,RSSI (dBm),min,-120.0
sensor04,gatewayA,SNR (dB),min,-10.0
sensor04,gatewayA,Spreading Factor (-),min,7.0
sensor04,gatewayA,Bandwidth (Hz),min,125000.0
sensor04,gatewayA,Frequency (Hz),min,903900000.0
sensor04,gatewayA,Airtime (s),min,0.056576
sensor04,gatewayA,Counter (-),min,39770.0
sensor04,gatewayA,# Receiving Gateways (-),min,1.0
sensor04,gatewayA,RSSI (dBm),max,-41.0
sensor04,gatewayA,SNR (dB),max,15.0
sensor04,gatewayA,Spreading Factor (-),max,7.0
sensor04,gatewayA,Bandwidth (Hz),max,125000.0
sensor04,gatewayA,Frequency (Hz),max,905300000.0
sensor04,gatewayA,Airtime (s),max,0.066816
sensor04,gatewayA,Counter (-),max,180611.0
sensor04,gatewayA,# Receiving Gateways (-),max,4.0
sensor04,gatewayA,RSSI (dBm),count,117002.0
sensor04,gatewayA,SNR (dB),count,112593.0
sensor04,gatewayA,Spreading Factor (-),count,117002.0
sensor04,gatewayA,Bandwidth (Hz),count,117002.0
sensor04,gatewayA,Frequency (Hz),count,117002.0
sensor04,gatewayA,Airtime (s),count,117002.0
sensor04,gatewayA,Counter (-),count,117002.0
sensor04,gatewayA,# Receiving Gateways (-),count,117002.0
sensor04,gatewayB,RSSI (dBm),mean,-114.0050454086781
sensor04,gatewayB,SNR (dB),mean,-7.729061553985873
sensor04,gatewayB,Spreading Factor (-),mean,7.0
sensor04,gatewayB,Bandwidth (Hz),mean,125000.0
sensor04,gatewayB,Frequency (Hz),mean,904571644.8032291
sensor04,gatewayB,Airtime (s),mean,0.0570099858728557
sensor04,gatewayB,Counter (-),mean,105490.78809283552
sensor04,gatewayB,# Receiving Gateways (-),mean,2.8405650857719476
sensor04,gatewayB,RSSI (dBm),std,5.638161349857494
sensor04,gatewayB,SNR (dB),std,1.1092485522878694
sensor04,gatewayB,Spreading Factor (-),std,0.0
sensor04,gatewayB,Bandwidth (Hz),std,0.0
sensor04,gatewayB,Frequency (Hz),std,439459.28549389495
sensor04,gatewayB,Airtime (s),std,0.0014267859465154397
sensor04,gatewayB,Counter (-),std,50433.380309092056
sensor04,gatewayB,# Receiving Gateways (-),std,0.41293392671258006
sensor04,gatewayB,RSSI (dBm),min,-122.0
sensor04,gatewayB,SNR (dB),min,-10.0
sensor04,gatewayB,Spreading Factor (-),min,7.0
sensor04,gatewayB,Bandwidth (Hz),min,125000.0
sensor04,gatewayB,Frequency (Hz),min,903900000.0
sensor04,gatewayB,Airtime (s),min,0.056576
sensor04,gatewayB,Counter (-),min,39774.0
sensor04,gatewayB,# Receiving Gateways (-),min,1.0
sensor04,gatewayB,RSSI (dBm),max,-89.0
sensor04,gatewayB,SNR (dB),max,-3.0
sensor04,gatewayB,Spreading Factor (-),max,7.0
sensor04,gatewayB,Bandwidth (Hz),max,125000.0
sensor04,gatewayB,Frequency (Hz),max,905300000.0
sensor04,gatewayB,Airtime (s),max,0.061696
sensor04,gatewayB,Counter (-),max,170412.0
sensor04,gatewayB,# Receiving Gateways (-),max,4.0
sensor04,gatewayB,RSSI (dBm),count,991.0
sensor04,gatewayB,SNR (dB),count,991.0
sensor04,gatewayB,Spreading Factor (-),count,991.0
sensor04,gatewayB,Bandwidth (Hz),count,991.0
sensor04,gatewayB,Frequency (Hz),count,991.0
sensor04,gatewayB,Airtime (s),count,991.0
sensor04,gatewayB,Counter (-),count,991.0
sensor04,gatewayB,# Receiving Gateways (-),count,991.0
sensor04,gatewayC,RSSI (dBm),mean,-107.64819294002173
sensor04,gatewayC,SNR (dB),mean,-0.8282682389904606
sensor04,gatewayC,Spreading Factor (-),mean,7.0
sensor04,gatewayC,Bandwidth (Hz),mean,125000.0
sensor04,gatewayC,Frequency (Hz),mean,904590983.9800891
sensor04,gatewayC,Airtime (s),mean,0.05681529049672239
sensor04,gatewayC,Counter (-),mean,112541.61090370527
sensor04,gatewayC,# Receiving Gateways (-),mean,2.1957969642794546
sensor04,gatewayC,RSSI (dBm),std,3.2476287145616825
sensor04,gatewayC,SNR (dB),std,4.523246891316971
sensor04,gatewayC,Spreading Factor (-),std,0.0
sensor04,gatewayC,Bandwidth (Hz),std,0.0
sensor04,gatewayC,Frequency (Hz),std,456070.4421214425
sensor04,gatewayC,Airtime (s),std,0.0010811274566794047
sensor04,gatewayC,Counter (-),std,39860.06739595789
sensor04,gatewayC,# Receiving Gateways (-),std,0.6145964817886592
sensor04,gatewayC,RSSI (dBm),min,-127.0
sensor04,gatewayC,SNR (dB),min,-10.25
sensor04,gatewayC,Spreading Factor (-),min,7.0
sensor04,gatewayC,Bandwidth (Hz),min,125000.0
sensor04,gatewayC,Frequency (Hz),min,903900000.0
sensor04,gatewayC,Airtime (s),min,0.056576
sensor04,gatewayC,Counter (-),min,39770.0
sensor04,gatewayC,# Receiving Gateways (-),min,1.0
sensor04,gatewayC,RSSI (dBm),max,-91.0
sensor04,gatewayC,SNR (dB),max,15.0
sensor04,gatewayC,Spreading Factor (-),max,7.0
sensor04,gatewayC,Bandwidth (Hz),max,125000.0
sensor04,gatewayC,Frequency (Hz),max,905300000.0
sensor04,gatewayC,Airtime (s),max,0.066816
sensor04,gatewayC,Counter (-),max,180611.0
sensor04,gatewayC,# Receiving Gateways (-),max,4.0
sensor04,gatewayC,RSSI (dBm),count,114108.0
sensor04,gatewayC,SNR (dB),count,96757.0
sensor04,gatewayC,Spreading Factor (-),count,114108.0
sensor04,gatewayC,Bandwidth (Hz),count,114108.0
sensor04,gatewayC,Frequency (Hz),count,114108.0
sensor04,gatewayC,Airtime (s),count,114108.0
sensor04,gatewayC,Counter (-),count,114108.0
sensor04,gatewayC,# Receiving Gateways (-),count,114108.0
sensor05,gatewayA,RSSI (dBm),mean,-83.35771820841428
sensor05,gatewayA,SNR (dB),mean,12.830014657753098
sensor05,gatewayA,Spreading Factor (-),mean,7.0
sensor05,gatewayA,Bandwidth (Hz),mean,125000.0
sensor05,gatewayA,Frequency (Hz),mean,904596221.329791
sensor05,gatewayA,Airtime (s),mean,0.05667503387058379
sensor05,gatewayA,Counter (-),mean,108046.90374027689
sensor05,gatewayA,# Receiving Gateways (-),mean,2.3240703058411594
sensor05,gatewayA,RSSI (dBm),std,9.986842814723563
sensor05,gatewayA,SNR (dB),std,3.815450595072517
sensor05,gatewayA,Spreading Factor (-),std,0.0
sensor05,gatewayA,Bandwidth (Hz),std,0.0
sensor05,gatewayA,Frequency (Hz),std,458204.5369191651
sensor05,gatewayA,Airtime (s),std,0.0007054446216902138
sensor05,gatewayA,Counter (-),std,39767.80160000346
